,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName
12,1,1,00:00:00:00:00:04,21279,32155460,aaltosea1,rohe_test_isntance,experiment1,1700834658,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,21360,32276462,aaltosea1,rohe_test_isntance,experiment1,1700834659,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,21448,32409518,aaltosea1,rohe_test_isntance,experiment1,1700834660,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,21570,32593982,aaltosea1,rohe_test_isntance,experiment1,1700834661,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,21683,32763368,aaltosea1,rohe_test_isntance,experiment1,1700834662,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,21804,32946320,aaltosea1,rohe_test_isntance,experiment1,1700834663,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,21918,33118688,aaltosea1,rohe_test_isntance,experiment1,1700834664,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22039,33301640,aaltosea1,rohe_test_isntance,experiment1,1700834665,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22165,33492152,aaltosea1,rohe_test_isntance,experiment1,1700834666,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22280,33666032,aaltosea1,rohe_test_isntance,experiment1,1700834667,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22386,33826304,aaltosea1,rohe_test_isntance,experiment1,1700834668,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22487,33979016,aaltosea1,rohe_test_isntance,experiment1,1700834669,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22606,34158944,aaltosea1,rohe_test_isntance,experiment1,1700834670,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22703,34305608,aaltosea1,rohe_test_isntance,experiment1,1700834671,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22811,34468904,aaltosea1,rohe_test_isntance,experiment1,1700834672,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,22914,34624640,aaltosea1,rohe_test_isntance,experiment1,1700834673,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,23013,34774328,aaltosea1,rohe_test_isntance,experiment1,1700834674,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,23095,34898312,aaltosea1,rohe_test_isntance,experiment1,1700834675,rohe_test_stage,sdn
